source,title,page,published_on,access_date,source_url,archive_url,archive_timestamp,source_id,alias_source_id,country,key,publication_title,new_pub_id
93601bd5-e894-4699-85d4-f6bebcf55ab8,Brig-Gen. Raji - the Road to Court Marshal,,2011-08-25,,http://allafrica.com/stories/201108250762.html,No archive available,,93601bd5-e894-4699-85d4-f6bebcf55ab8,,Nigeria,NigeriaDaily Trust,Daily Trust,ffc4fc8e-45e1-4ddb-9faa-55c7e16f81ee
949241ed-6b48-4dfe-a7d3-aad59ce53b73,"Army captures Alagarno, Boko Haram `spiritual power base’",,2016-03-30,,http://www.vanguardngr.com/2016/03/army-captures-alagarno-boko-haram-spiritual-power-base/,https://web.archive.org/web/20160330230355/http://www.vanguardngr.com/2016/03/army-captures-alagarno-boko-haram-spiritual-power-base/,2016-03-30T23:03:55,949241ed-6b48-4dfe-a7d3-aad59ce53b73,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
95685004-1904-4e0b-b5ac-f13aa795dc44,"2011 - Army Will Review Operations, Says Dambazau.",,2010-05-19,,http://allafrica.com/stories/201005190193.html,,,95685004-1904-4e0b-b5ac-f13aa795dc44,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
96b4be35-d114-4d2e-a6f2-b02f0fa7532f,Terrorism - Army Sends GOC to Office,,2014-10-25,,http://www.vanguardngr.com/2014/10/terrorism-army-sends-goc-office/,https://web.archive.org/web/20141025074749/http://www.vanguardngr.com/2014/10/terrorism-army-sends-goc-office/,2014-10-25T07:47:49,96b4be35-d114-4d2e-a6f2-b02f0fa7532f,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
96c03f26-869e-4967-80c0-0e2de256d730,"Bakassi Killings: Nigerian Soldiers Not Involved, Azazi Insists",,2007-11-16,,http://www.thisdayonline.com/nview.php?id=95384,https://web.archive.org/web/20071120020138/http://www.thisdayonline.com/nview.php?id=95384,2007-11-20T02:01:38,96c03f26-869e-4967-80c0-0e2de256d730,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
9765187c-ccfc-4ad5-8df2-13dd99a99a6a,Coas Promises to Transform Army,,2012-06-15,,http://www.vanguardngr.com/2012/06/coas-promises-to-transform-army/,https://web.archive.org/web/20120615111201/http://www.vanguardngr.com/2012/06/coas-promises-to-transform-army/,2012-06-15T11:12:01,9765187c-ccfc-4ad5-8df2-13dd99a99a6a,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
98f9bf12-c64e-47d2-9d79-8621189850a9,NDA Boss Calls for Combat Alertness,,2008-10-12,,http://allafrica.com/stories/200810130674.html,No archive available,,98f9bf12-c64e-47d2-9d79-8621189850a9,,Nigeria,NigeriaDaily Trust,Daily Trust,ffc4fc8e-45e1-4ddb-9faa-55c7e16f81ee
9a29c2cd-6837-4491-adda-6241c624f75a,COAS Annual Conference Begins October in Owerri,,2004-10-13,,http://allafrica.com/stories/200410130403.html,No archive available,,9a29c2cd-6837-4491-adda-6241c624f75a,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
9ad83488-67aa-475c-8a7e-8210fb55f86c,GOC - Insurgency Will Soon End,,2015-07-27,,http://allafrica.com/stories/201507270974.html,No archive available,,9ad83488-67aa-475c-8a7e-8210fb55f86c,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
a289bf40-5936-4c11-b7ac-41b52cc636b6,Escape of Detainees - GOC 3 Division Sets Up Martial Court to Try Gen Raji,,2011-08-16,,http://allafrica.com/stories/201108170773.html,No archive available,,a289bf40-5936-4c11-b7ac-41b52cc636b6,,Nigeria,NigeriaDaily Independent,Daily Independent,423a4021-db29-4780-9cee-688d88790af8
a2922c4e-d151-4b62-b0e1-bfe41d1af48c,Shake-Up in Army,,2009-01-10,,http://allafrica.com/stories/200901120558.html,https://web.archive.org/web/20100911084631/http://allafrica.com:80/stories/200901120558.html,2010-09-11T08:46:31,a2922c4e-d151-4b62-b0e1-bfe41d1af48c,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
a2c6f7fd-c96b-4577-8694-0a0b402e2751,"3 soldiers, 2 civilian JTF members killed by Boko Haram in shootout in Borno",,2018-03-19,2018-08-03,https://www.vanguardngr.com/2018/04/976883/,https://web.archive.org/web/20180803155323/https://www.vanguardngr.com/2018/04/976883/,,a2c6f7fd-c96b-4577-8694-0a0b402e2751,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
a420727a-991b-4b03-9328-a46a16f95aa2,"Man Gets Title, Car, N",,2015-05-20,,http://allafrica.com/stories/201505201313.html,No archive available,,a420727a-991b-4b03-9328-a46a16f95aa2,,Nigeria,NigeriaDaily Trust,Daily Trust,ffc4fc8e-45e1-4ddb-9faa-55c7e16f81ee
a59c863d-ca68-4191-9778-69f31a816d9c,"Finally, Nigerian Troops Bombard Sambisa Forest",,2015-02-03,,http://leadership.ng/news/408993/finally-nigerian-troops-bombard-sambisa-forest,https://web.archive.org/web/20150204161545/http://leadership.ng/news/408993/finally-nigerian-troops-bombard-sambisa-forest,2015-02-04T16:15:45,a59c863d-ca68-4191-9778-69f31a816d9c,,Nigeria,NigeriaLeadership,Leadership,8f96e06a-1bfa-47a4-b05f-e6360770aca4
a5ab998f-64fd-4d7a-a0ef-6fb0b6d6c8f0,Shocking !!! Police discover 40 feet well stored with petroleum products in Lagos,,2010-07-30,,http://www.vanguardngr.com/2010/07/shocking-police-discover-40-feet-well-stored-with-petroleum-products-in-lagos/,https://web.archive.org/web/20150425013441/http://www.vanguardngr.com/2010/07/shocking-police-discover-40-feet-well-stored-with-petroleum-products-in-lagos/,2015-04-25T01:34:41,a5ab998f-64fd-4d7a-a0ef-6fb0b6d6c8f0,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
a7105b41-1e5c-4d6b-8920-ebad5d9e068c,"New GOC, others appointed as Army retires 7 generals",,2013-09-04,,http://sunnewsonline.com/new/?p=37444,https://web.archive.org/web/20151129042412/http://sunnewsonline.com/new/new-goc-others-appointed-as-army-retires-7-generals/,2015-11-29T04:24:12,a7105b41-1e5c-4d6b-8920-ebad5d9e068c,,Nigeria,NigeriaThe Sun,The Sun,7787a9e0-eb02-4236-a491-0392404b0e64
a78c84f2-bd87-40fb-8a16-2d5727462f6c,"Major shake-up in Nigerian Army, 334 top officers redeployed",,2015-07-30,,http://www.premiumtimesng.com/news/top-news/187482-major-shake-up-in-nigerian-army-334-top-officers-redeployed.html,https://web.archive.org/web/20160529120510/http://www.premiumtimesng.com/news/top-news/187482-major-shake-up-in-nigerian-army-334-top-officers-redeployed.html,2016-05-29T12:05:10,a78c84f2-bd87-40fb-8a16-2d5727462f6c,,Nigeria,NigeriaPremium Times,Premium Times,80936b96-33ba-406a-babe-7abd5b0391f0
a8f056ec-010e-4e4a-8f19-73b5bea91fd2,I'll Tackle Jos Crisis - New GOC,,2009-01-27,,http://allafrica.com/stories/200901270079.html,No archive available,,a8f056ec-010e-4e4a-8f19-73b5bea91fd2,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
a90822fc-77bf-48e5-942e-5cb8d1fee32c,Boko Haram Attacks Possible in Ogun - Army Chief,,2014-04-04,,http://www.vanguardngr.com/2014/04/boko-haram-attacks-possible-ogun-army-chief/,https://web.archive.org/web/20140404042742/http://www.vanguardngr.com/2014/04/boko-haram-attacks-possible-ogun-army-chief/,2014-04-04T04:27:42,a90822fc-77bf-48e5-942e-5cb8d1fee32c,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
aaaec31f-fda5-46f1-9db8-b399f17310c6,Boko Haram - New Dawn in Winning the War On Terror,,2014-10-01,,http://www.vanguardngr.com/2014/10/boko-haram-new-dawn-winning-war-terror/,https://web.archive.org/web/20141002043100/http://www.vanguardngr.com/2014/10/boko-haram-new-dawn-winning-war-terror/,2014-10-02T04:31:00,aaaec31f-fda5-46f1-9db8-b399f17310c6,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
aba16380-5c24-4aee-885e-d61ce0597e70,Boko Haram - Nigeria Army Compensates Families of Slain Soldiers,,2012-09-16,,http://allafrica.com/stories/201209170179.html,No archive available,,aba16380-5c24-4aee-885e-d61ce0597e70,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
ac45a2cb-34af-450b-9497-d1334af0db1b,Tambuwal Flays Poor Ranking Of Nigerian Varsities,,2015-12-09,,http://www.thetidenewsonline.com/2015/12/09/tambuwal-flays-poor-ranking-of-nigerian-varsities/,https://web.archive.org/web/20171221150602/http://www.thetidenewsonline.com/2015/12/09/tambuwal-flays-poor-ranking-of-nigerian-varsities/,2017-12-21T15:06:02,ac45a2cb-34af-450b-9497-d1334af0db1b,,Nigeria,NigeriaThe Tide,The Tide,a445d5ae-dde0-4d87-a8ae-9dd85bcfdf74
ac88de9e-cfbb-4512-956b-8eaa5f25b54f,Army Will Tackle Security Lapses,,2011-02-07,,http://allafrica.com/stories/201102070365.html,No archive available,,ac88de9e-cfbb-4512-956b-8eaa5f25b54f,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
