source	person:name	person:org	person:role	person:title	person:rank
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Ajimuda Olatunji	Iju Police Division (Area 'G' Police Area Command Lagos State Police Command)	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Ikegwuonu Obinna	Ijanikin Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Benjamin Osuji	Igando Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Folorunsho Afolabi	Ifako Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Mike Ochuko Imeke	Idimu Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Vincent O. Bello	Ibese Police Division	Commander	Divisional Police Officer	Deputy Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Titiladunyo Segun	Gowon Estate Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Michael Opete	Epe Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Philip Eze	Elere Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	John Tse	Elemoro Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Falade Michael	Dopemu Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Edmund Afraimu	Bariga Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Alhassan Ibrahim	Badagry Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Mohammed Lariski	Ayobo Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Uzoma Nwaoha	Anthony Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Victor Onyeugo	Alapere Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Adepoju A. Ilori	Alakuko Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Musa Modibbo Alim	Alagbado Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Uduak Udom Isaac	Alade Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Paul O. Adejumo	Akodo Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Onize Lawal Isah	Ajah Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Grace Eze	Abattoir Police Division	Commander	Divisional Police Officer	Superintendent of Police
1ce0d76b-6a51-4f65-9326-e28a79605ee2	Sunday Idoko	3 Armoured Division	Commander	General Officer Commanding	Major General
1f6ae567-b76c-4a32-a03b-c6794028d5a0	Texas Chukwu	Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
1fbf7073-00b9-4a26-aaac-f61b1fd38ccd	Moses Obi	1 Mechanised Division	Commander	General Officer Commanding	Major General
213e3add-1325-4e48-b537-fa015d0a4e72	Tukur Yusufu Buratai	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
213e3add-1325-4e48-b537-fa015d0a4e72	Tukur Yusufu Buratai	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
227ac966-eb30-432b-904c-2864b0d72861	H.M. Hussani	82 Division	Commander	General Officer Commanding	Colonel
24ad030d-abe7-462d-9fb1-829df7df5c68	Benjamin Ahanotu (3 Armoured Division)	3 Armoured Division	Commander	Acting General Officer Commanding	Brigadier General
27f1d465-80f4-48c0-b190-9d9138aa7f69	Samaila Iliya	81 Division	Commander	General Officer Commanding	Major General
2859d1a4-e501-4a5e-9d34-fe7faf6c5815	Uzoma Nwaoha	Anthony Police Division	Commander	Divisional Police Officer	Superintendent of Police
2de9f5ea-c360-427e-b742-f1ddfa01c0b3	Texas Chukwu	Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
2e620027-244c-4562-8fd4-316399876418	Olakunle Akinyemi	3 Armoured Division	Commander	General Officer Commanding	Major General
2fc0f588-8af2-4c04-841c-3d44f42b6ffd	Victor Okwudili Ezugwu	7 Division	Commander	General Officer Commanding	Brigadier General
2fc7b634-375c-4cad-a662-e18ce2e6d533	Moses Obi	1 Mechanised Division	Commander	General Officer Commanding	Major General
30dd1435-d22d-4db7-9f93-fb993069ed47	Enobong Udoh	81 Division	Commander	General Officer Commanding	Major General
315f389c-9801-49e7-a562-440fad134991	Sunday Idoko	3 Armoured Division	Commander	General Officer Commanding	Major General
34cc8b2c-1cb1-44b2-87ae-af6e04fbbe08	Shehu Yusuf	82 Division	Commander	General Officer Commanding	Major General
356602e4-042e-4ad3-8bb2-f539b8644514	Benjamin Ahanotu (3 Armoured Division)	3 Armoured Division	Commander	General Officer Commanding	Major General
35ea21a5-cefc-4878-87e8-4cdb0cf2779e	Texas Chukwu	Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
361de417-fe5f-4a76-9637-144f104713db	Paul Dike	Defence Headquarters	Commander	Chief of Defence Staff	Air Marshal
36d49324-b5b6-4df5-aa99-2051fe5ea939	Yusha'u Mahmood Abubakar	Operation Lafiya Dole	Commander	Theatre Commander	Major General
37094c69-f9e1-41d4-9fc1-94da22e266ff	Mohammad Danhanne Issa	82 Division	Commander	General Officer Commanding	Major General
37ea0e4c-2b65-47e3-8347-6c55d6230165	Mohammed Sani Ali	3 Armoured Division	Commander	General Officer Commanding	Brigadier General
3a678eaa-d39f-40fd-9fcf-072f2d17d4c2	Paul Dike	Defence Headquarters	Commander	Chief of Defence Staff	Air Marshal
3b321757-557f-4af7-a20d-d30ecee55bd6	Ahmadu Mohammed	7 Division	Commander	General Officer Commanding	Major General
3dcb84f0-dcf7-4bab-9770-78a627ca5630	M. M. Yerima	82 Division	Army Public Relations Officer	Assistant Director Army Public Relations	Major
3fd28aae-88ff-45bc-b066-171d60d04282	Mohammed Mu'Azu	Seme Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
431d003c-096b-4bd1-b02b-e4676519d2d4	Adamu Baba Abubakar	82 Division	Commander	General Officer Commanding	Major General
4600bd9e-961a-4261-93ef-abd67c71cdfd	Ishiaku Dikko	22 Armoured Brigade	Commander	General Officer Commanding	Brigadier General
46765dc0-78a8-4266-a8f3-8ebb44108685	Saleh Maina	3 Armoured Division	Commander	General Officer Commanding	Major General
47392e3d-3c5f-4610-b2ec-173a0c29cce8	Adamu Baba Abubakar	82 Division	Commander	General Officer Commanding	Major General
4bf889e9-d881-4295-a498-6e3dfaa40d1b	Azubuike Onyeabo Ihejirika	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
4bf889e9-d881-4295-a498-6e3dfaa40d1b	Azubuike Onyeabo Ihejirika	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
4da481e7-b4f8-4118-9fd1-517ed10ca755	Kasimu Abdulkarim	6 Division	Commander	General Officer Commanding	Major General
4e3d8ee6-72f6-4bb8-92f6-d98d656e6ac7	A.T. Lawal	3 Battalion	Commander	Commanding Officer	Lieutenant Colonel
4fa3bcd2-604e-4637-943b-46e9c259198d	Moses Obi	1 Mechanised Division	Commander	General Officer Commanding	Major General
50fffcf6-562a-49a1-bd85-416805735fbb	Okey Ofoedu	Oji River Police Division	Commander	Divisional Police Officer	Superintendent of Police
5719e8e1-6caf-4e8d-8365-6e92e50ed7a9	Texas Chukwu	Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
582d5933-38ab-4137-bc30-3fc7a4334fbd	Ibrahim Attahiru	82 Division	Commander	Acting General Officer Commanding	Brigadier General
583d202d-efa3-47bf-ba48-e0e7957872a1	Tanko Abdu	81 Division	Commander	General Officer Commanding	Major General
5c5f25a2-6751-40ef-a68f-4c90f4b5d8b7	Azugaku Tsota Umuru	Defence Headquarters	Director of Administration	Director of Administration	Major General
5c5f25a2-6751-40ef-a68f-4c90f4b5d8b7	Oluseyin Petinrin	Defence Headquarters	Commander	Chief of Defence Staff	Air Marshal
61dea0fe-8477-40bb-9624-4f908b2fd31d	Noble Uwoh	Edo State Police Command	Public Relations Officer	Public Relations Officer	Deputy Superintendent of Police
65c4fd99-6206-4009-80c0-d1a8d1519c3c	Rowland Omatoje	Fegge Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
68580e8b-12ac-4cb6-84e7-30e637dacfc8	Owoye Andrew Azazi	Defence Headquarters	Commander	Chief of Defence Staff	General
6af2a7d0-5d62-446a-9d26-e4bfba227805	Lamidi Adeosun	7 Division	Commander	General Officer Commanding	Major General
6e34fc31-810c-4002-94ff-b981081110cf	Emmanuel Abejirin	2 Mechanised Division	Commander	General Officer Commanding	Major General
747ea676-8906-4d75-b0ae-740939e7c61d	AE Okpere	Tactical Air Command	Commander	Air Officer Commanding	Air Vice Marshal
747ea676-8906-4d75-b0ae-740939e7c61d	AH Lawal	Tactical Air Command	Commander	Air Officer Commanding	Group Captain
747ea676-8906-4d75-b0ae-740939e7c61d	AH Lawal	Tactical Air Command	Commander	Air Officer Commanding	Air Commodore
747ea676-8906-4d75-b0ae-740939e7c61d	C Onyemaobi	Tactical Air Command	Commander	Air Officer Commanding	Air Vice Marshal
747ea676-8906-4d75-b0ae-740939e7c61d	CAE Dada	Tactical Air Command	Commander	Air Officer Commanding	Air Commodore
747ea676-8906-4d75-b0ae-740939e7c61d	CO Onugha	Tactical Air Command	Commander	Air Officer Commanding	Air Vice Marshal
747ea676-8906-4d75-b0ae-740939e7c61d	CU Ugah	Tactical Air Command	Commander	Air Officer Commanding	Air Vice Marshal
747ea676-8906-4d75-b0ae-740939e7c61d	EE Edem	Tactical Air Command	Commander	Air Officer Commanding	Air Commodore
747ea676-8906-4d75-b0ae-740939e7c61d	EE Edem	Tactical Air Command	Commander	Air Officer Commanding	Air Vice Marshal
747ea676-8906-4d75-b0ae-740939e7c61d	EO Adeleye	Tactical Air Command	Commander	Air Officer Commanding	Air Commodore
747ea676-8906-4d75-b0ae-740939e7c61d	FG Dilli	Tactical Air Command	Commander	Air Officer Commanding	Air Vice Marshal
747ea676-8906-4d75-b0ae-740939e7c61d	FO Gbadebo	Tactical Air Command	Commander	Air Officer Commanding	Air Vice Marshal
747ea676-8906-4d75-b0ae-740939e7c61d	GA Osho	Tactical Air Command	Commander	Air Officer Commanding	Air Commodore
747ea676-8906-4d75-b0ae-740939e7c61d	GB Odesola	Tactical Air Command	Commander	Air Officer Commanding	Air Vice Marshal
747ea676-8906-4d75-b0ae-740939e7c61d	IM Alfa	Tactical Air Command	Commander	Air Officer Commanding	Group Captain
747ea676-8906-4d75-b0ae-740939e7c61d	IM Alfa	Tactical Air Command	Commander	Air Officer Commanding	Air Commodore
747ea676-8906-4d75-b0ae-740939e7c61d	JO Babalola	Tactical Air Command	Commander	Air Officer Commanding	Air Vice Marshal
747ea676-8906-4d75-b0ae-740939e7c61d	JO Okoiye	Tactical Air Command	Commander	Air Officer Commanding	Air Commodore
747ea676-8906-4d75-b0ae-740939e7c61d	MAD Bello	Tactical Air Command	Commander	Air Officer Commanding	Air Commodore
747ea676-8906-4d75-b0ae-740939e7c61d	NE Eduok	Tactical Air Command	Commander	Air Officer Commanding	Air Commodore
747ea676-8906-4d75-b0ae-740939e7c61d	NN Dilli	Tactical Air Command	Commander	Air Officer Commanding	Air Vice Marshal
747ea676-8906-4d75-b0ae-740939e7c61d	NO Yussuf	Tactical Air Command	Commander	Air Officer Commanding	Air Commodore
747ea676-8906-4d75-b0ae-740939e7c61d	SA Atawodi	Tactical Air Command	Commander	Air Officer Commanding	Air Commodore
747ea676-8906-4d75-b0ae-740939e7c61d	SA Atawodi	Tactical Air Command	Commander	Air Officer Commanding	Air Vice Marshal
747ea676-8906-4d75-b0ae-740939e7c61d	WI Aleyideino	Tactical Air Command	Commander	Air Officer Commanding	Air Commodore
763e05ec-a66a-46fb-a691-223339e19272	Ibrahim Attahiru	82 Division	Commander	General Officer Commanding	Major General
76fc2c07-4ce9-4c9a-8c95-6bfb88c08ec1	Texas Chukwu	Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
76fc2c07-4ce9-4c9a-8c95-6bfb88c08ec1	AG Nora	21 Special Forces Brigade	Commander	Acting Commander	Colonel
76fc2c07-4ce9-4c9a-8c95-6bfb88c08ec1	AG Nora	21 Armoured Brigade	Commander	Acting Commander	Colonel
7a278f4a-c006-466b-916b-2da69632e1bd	Ibrahim Attahiru	82 Division	Commander	General Officer Commanding	Major General
7c4a1206-effb-4695-a475-5b2743fe6922	Mohammed Abubakar	2 Mechanised Division	Commander	General Officer Commanding	Major General
7f1edbe1-3c12-45ac-bd31-f33c4a56824c	Texas Chukwu	Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
8287b786-f4c9-40d0-a333-daad5a2ad08f	Chris Olukolade	Defence Headquarters	Director of Defence Information	Director of Defence Information	Major General
8989202e-9d26-4da2-b0c5-61867a645b84	Jack Okechukwu Nwaogbo	3 Armoured Division	Commander	General Officer Commanding	Major General
92167d54-96bb-4dcb-90aa-b185584c5c25	Unsaid Bindawa	7 Division	Commander	General Officer Commanding	Major General
92167d54-96bb-4dcb-90aa-b185584c5c25	John Zaruwa	3 Armoured Division	Commander	General Officer Commanding	Major General
93601bd5-e894-4699-85d4-f6bebcf55ab8	Sunday Idoko	3 Armoured Division	Commander	General Officer Commanding	Major General
96b4be35-d114-4d2e-a6f2-b02f0fa7532f	Fatai Oladipo Alli	3 Armoured Division	Commander	General Officer Commanding	Major General
98f9bf12-c64e-47d2-9d79-8621189850a9	Moses Obi	1 Mechanised Division	Commander	General Officer Commanding	Major General
9a29c2cd-6837-4491-adda-6241c624f75a	Abdul Hafeez Adewuyi	82 Division	Commander	General Officer Commanding	Major General
a289bf40-5936-4c11-b7ac-41b52cc636b6	Sunday Idoko	3 Armoured Division	Commander	General Officer Commanding	Major General
a2922c4e-d151-4b62-b0e1-bfe41d1af48c	Abdulrahman Danbazzau	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
a2922c4e-d151-4b62-b0e1-bfe41d1af48c	Emeka CG Nwanguna	81 Division	Commander	General Officer Commanding	Major General
a2922c4e-d151-4b62-b0e1-bfe41d1af48c	Saleh Maina	3 Armoured Division	Commander	General Officer Commanding	Major General
a2922c4e-d151-4b62-b0e1-bfe41d1af48c	Lawrence Ngubane	2 Mechanised Division	Commander	General Officer Commanding	Major General
a2922c4e-d151-4b62-b0e1-bfe41d1af48c	Kamaldeen Role	1 Mechanised Division	Commander	General Officer Commanding	Major General
a2922c4e-d151-4b62-b0e1-bfe41d1af48c	Moses Obi	1 Mechanised Division	Commander	General Officer Commanding	Major General
a2c6f7fd-c96b-4577-8694-0a0b402e2751	Texas Chukwu	Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
a420727a-991b-4b03-9328-a46a16f95aa2	Lamidi Adeosun	7 Division	Commander	General Officer Commanding	Major General
a59c863d-ca68-4191-9778-69f31a816d9c	Chris Olukolade	Defence Headquarters	Director of Defence Information	Director of Defence Information	Major General
a5ab998f-64fd-4d7a-a0ef-6fb0b6d6c8f0	Ambrose Agbedo	Idimu Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
a78c84f2-bd87-40fb-8a16-2d5727462f6c	Ibrahim Attahiru	82 Division	Commander	Acting General Officer Commanding	Brigadier General
a8f056ec-010e-4e4a-8f19-73b5bea91fd2	Olakunle Akinyemi	3 Armoured Division	Commander	General Officer Commanding	Major General
a8f056ec-010e-4e4a-8f19-73b5bea91fd2	Saleh Maina	3 Armoured Division	Commander	General Officer Commanding	Major General
ac45a2cb-34af-450b-9497-d1334af0db1b	Ibrahim Attahiru	82 Division	Commander	Acting General Officer Commanding	Brigadier General
b166faeb-7005-422d-8dd1-b8039edc0705	Suleiman Abba	Nigeria Police Force	Commander	Acting Inspector General of Police	Inspector General of Police
b166faeb-7005-422d-8dd1-b8039edc0705	Suleiman Abba	Force Headquarters	Commander	Acting Inspector General of Police	Inspector General of Police
b2b830c3-807c-48a3-a37e-6fb63cc08bf2	Paul Dike	Defence Headquarters	Commander	Chief of Defence Staff	Air Marshal
b367bbc1-0e17-4114-bae3-542eb49c3631	Ibrahim Attahiru	Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
b367bbc1-0e17-4114-bae3-542eb49c3631	Olajide Laleye	Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
ba9dfc0a-9100-4268-a0be-8ff285891d30	Ibrahim Attahiru	82 Division	Commander	General Officer Commanding	Major General
bb18283d-e1f4-438e-b7d7-be275b5086f8	Ibrahim Attahiru	Operation Lafiya Dole	Commander	Theatre Commander	Major General
bbac1cf1-2414-4be2-b566-32d40004b45a	Joseph Shoboiki	1 Mechanised Division	Commander	General Officer Commanding	Major General
bf0b4628-a7a4-478b-9604-be6f2f6df284	Jonathan Ango	Western Naval Command	Commander	Flag Officer Commanding	Rear Admiral
c33d75b1-a026-40e6-92a3-fe0ee1aa75c2	Texas Chukwu	Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
c33d75b1-a026-40e6-92a3-fe0ee1aa75c2	Abdulmalik Bulama Biu	7 Division	Commander	Acting General Officer Commanding	Brigadier General
c69e5624-93f3-41cd-8601-d5324ae8d29d	Sunday Idoko	3 Armoured Division	Commander	General Officer Commanding	Major General
c8bc3668-4ee8-4c50-b2e4-b82816c141ef	Saleh Maina	3 Armoured Division	Commander	General Officer Commanding	Major General
ca9507f3-f385-4b3c-8a18-13a5eca53c9f	Mohammed Sani Saleh	2 Mechanised Division	Commander	General Officer Commanding	Major General
cd2518d9-5399-4a89-aca4-cade1f015461	Adamu Marwa	3 Armoured Division	Commander	General Officer Commanding	Major General
cfa4d127-c092-4d43-a409-897f5a4081cc	Ola Sa'ad Ibrahim	Defence Headquarters	Commander	Chief of Defence Staff	Admiral
d0381937-4a5a-496e-ad2f-c3ee9043a93f	Chris Olukolade	Defence Headquarters	Director of Defence Information	Director of Defence Information	Brigadier General
d13c203d-33ed-425a-aba6-4f53ed199fc7	RA Ojuawo	Tactical Air Command	Commander	Air Officer Commanding	Air Vice Marshal
d8bf80b6-98be-4bde-86bf-d495503bc984	Adamu Baba Abubakar	82 Division	Commander	General Officer Commanding	Major General
d8c1e434-858d-4f9b-b306-001c9224b9b0	Sunday Idoko	3 Armoured Division	Commander	General Officer Commanding	Major General
d9090269-1988-420d-a0fc-2085c0066a92	Adamu Aliyu	1 Battalion	Commander	Acting Commanding Officer	Captain
dfb43e98-9ee5-44be-9770-cac6c5e11d17	Hassan Umoru	Operation Lafiya Dole	Commander	Theatre Commander	Major General
dfb43e98-9ee5-44be-9770-cac6c5e11d17	Hassan Umoru	3 Armoured Division	Commander	General Officer Commanding	Major General
e408924f-c68f-4723-9b08-1db4172c851e	Alexander Ogomudia	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
e408924f-c68f-4723-9b08-1db4172c851e	Alexander Ogomudia	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
e408924f-c68f-4723-9b08-1db4172c851e	Adeniyi Sangotade	82 Division	Commander	General Officer Commanding	Major General
e4dbed3c-8b08-4325-b239-86d1e9b2f574	Chris Olukolade	Defence Headquarters	Director of Defence Information	Director of Defence Information	Major General
e6229f5c-fe49-4fa2-b296-6cbc8ee0013d	Chukwunedum Abraham	2 Mechanised Division	Commander	General Officer Commanding	Major General
e7542a2c-23f6-4cf9-bf3f-88b92ac16210	Sanyel Tizhe	Borno State Police Command	Police Public Relations Officer	Police Public Relations Officer	Assistant Superintendent of Police
e7624061-1fee-47c0-b3ff-d0d5a8800e9b	Peter Dauke	3 Armoured Division	Commander	General Officer Commanding	Major General
e94b444c-331b-4c3f-a806-34299fcc4b89	Enobong Udoh	81 Division	Commander	General Officer Commanding	Major General
e979fd13-cefc-4081-8386-3726c9576970	Adamu Marwa	3 Armoured Division	Commander	General Officer Commanding	Major General
eb2bf65d-f637-401e-96b8-beff83e8c912	Joseph Owonibi	3 Armoured Division	Commander	General Officer Commanding	Major General
eb517afd-319c-4949-9a40-63752bef4001	Adamu Abubakar	82 Division	Commander	General Officer Commanding	Major General
edcbbdaf-79fe-4e68-b255-91181e8c5962	Chris Olukolade	Defence Headquarters	Director of Defence Information	Director of Defence Information	Major General
eeb8a422-93b2-456f-8874-68eedeace90c	Ibrahim Attahiru	Operation Lafiya Dole	Commander	Theatre Commander	Major General
eeb8a422-93b2-456f-8874-68eedeace90c	Lucky Irabor	Operation Lafiya Dole	Commander	Theatre Commander	Major General
eeb8a422-93b2-456f-8874-68eedeace90c	Lucky Irabor	Multinational Joint Task Force	Commander	Force Commander	Major General
ef0096ed-e1db-4c3e-b8a3-259c9bec5063	Ahmed Tijani Jibrin	2 Mechanised Division	Commander	General Officer Commanding	Major General
