Name	Source: Name	Aliases or alternative spellings (semi-colon separated)	Source: Aliases or alternative spellings	Organization	Source: Organization	Role	Source: Role	Title (official title)	Source: Title	Rank	Source: Rank
John N. Nwaoga	25af78d0-58de-4799-b426-d4bff069a7f2;ca4dd04d-be21-4a35-b114-129ba3b28340	John Nwoaga ; J.N Nwaoga	28c1c516-639c-4c6c-9171-bc9e4fd26f40;1b0468c5-0cfb-421d-aed1-68df862cb613;f8c4d412-7a10-441f-9e23-f768ca31ae86;36a978f0-e1ef-4e88-ac3c-1e1e2bdbdd9a;a3a3fbe6-ddc5-451c-a1db-78fe410df04e	23 Armoured Brigade	25af78d0-58de-4799-b426-d4bff069a7f2;ca4dd04d-be21-4a35-b114-129ba3b28340;a3a3fbe6-ddc5-451c-a1db-78fe410df04e	Commander	25af78d0-58de-4799-b426-d4bff069a7f2;ca4dd04d-be21-4a35-b114-129ba3b28340;a3a3fbe6-ddc5-451c-a1db-78fe410df04e			Major General	25af78d0-58de-4799-b426-d4bff069a7f2;ca4dd04d-be21-4a35-b114-129ba3b28340;a3a3fbe6-ddc5-451c-a1db-78fe410df04e
Nuhu Jafaru	6d13ca9b-7246-4a0a-a12b-a8db3fb84169			23 Armoured Brigade	6d13ca9b-7246-4a0a-a12b-a8db3fb84169	Spokesman	6d13ca9b-7246-4a0a-a12b-a8db3fb84169			Captain	6d13ca9b-7246-4a0a-a12b-a8db3fb84169
Rogers Ibe Nicholas	967b4f26-dbe6-462a-abd7-d7f1b5d95f17;9a8bbd32-7d10-470b-b21d-ee24fe5bd277	Nicholas Rogers ; Ibe Nicholas ; Rogers Nicholas	20bd4b91-0fc3-4fbf-bde0-4e1428a99143;e4496cac-2e7f-4001-a1cb-cef9f9c7dd93;f90ec2c0-c685-475c-9dc8-e1464c7d775a;6ef71e36-2385-4b1a-90ce-cac1634959e3;0d2c023c-a961-42fd-87d2-48db22517f17	23 Armoured Brigade	f90ec2c0-c685-475c-9dc8-e1464c7d775a;20bd4b91-0fc3-4fbf-bde0-4e1428a99143;e4496cac-2e7f-4001-a1cb-cef9f9c7dd93;967b4f26-dbe6-462a-abd7-d7f1b5d95f17;6ef71e36-2385-4b1a-90ce-cac1634959e3;9a8bbd32-7d10-470b-b21d-ee24fe5bd277;0d2c023c-a961-42fd-87d2-48db22517f17	Commander	f90ec2c0-c685-475c-9dc8-e1464c7d775a;20bd4b91-0fc3-4fbf-bde0-4e1428a99143;e4496cac-2e7f-4001-a1cb-cef9f9c7dd93;967b4f26-dbe6-462a-abd7-d7f1b5d95f17;6ef71e36-2385-4b1a-90ce-cac1634959e3;9a8bbd32-7d10-470b-b21d-ee24fe5bd277;0d2c023c-a961-42fd-87d2-48db22517f17			Brigadier General	f90ec2c0-c685-475c-9dc8-e1464c7d775a;20bd4b91-0fc3-4fbf-bde0-4e1428a99143;e4496cac-2e7f-4001-a1cb-cef9f9c7dd93;967b4f26-dbe6-462a-abd7-d7f1b5d95f17;6ef71e36-2385-4b1a-90ce-cac1634959e3;9a8bbd32-7d10-470b-b21d-ee24fe5bd277;0d2c023c-a961-42fd-87d2-48db22517f17
Ugo Buzuagbe	3a591df4-3b1d-4c7c-9cfe-03b9c5c05962			23 Armoured Brigade	3a591df4-3b1d-4c7c-9cfe-03b9c5c05962	Commander	3a591df4-3b1d-4c7c-9cfe-03b9c5c05962			Brigadier General	3a591df4-3b1d-4c7c-9cfe-03b9c5c05962
Victor Ebhaleme	c7e390d1-6c97-488d-9a58-dafd3567c7a8;9a348119-c313-4924-ad93-415e148caae7;b8fd3a91-bf1c-49e3-b047-3649abe5c9e2;6973bfc3-ae94-4f1e-8100-2f3fa321ae3a;ed342c81-c2cf-44bd-b3d1-e1698e8423fc;af8ffbfa-5383-4a2b-b110-1ed6956f5d2b;a723cd13-d60f-4469-b188-072b9e1c30d8;4c62ab1f-a9d7-40fa-9d12-01175af21f17;0cf43bcc-6564-4dd0-bf7a-3779e82b393c;4c62ab1f-a9d7-40fa-9d12-01175af21f17	Victor Ebheleme ; Victor Ebhamele	f06c20dd-39ae-4e4c-b01f-a961175a978d;688f5209-3517-4840-af5d-9540e14c21fa	23 Armoured Brigade	0cf43bcc-6564-4dd0-bf7a-3779e82b393c;4c62ab1f-a9d7-40fa-9d12-01175af21f17;4c62ab1f-a9d7-40fa-9d12-01175af21f17	Commander	0cf43bcc-6564-4dd0-bf7a-3779e82b393c;4c62ab1f-a9d7-40fa-9d12-01175af21f17;4c62ab1f-a9d7-40fa-9d12-01175af21f17			Colonel	0cf43bcc-6564-4dd0-bf7a-3779e82b393c;4c62ab1f-a9d7-40fa-9d12-01175af21f17;4c62ab1f-a9d7-40fa-9d12-01175af21f17
Dahiru Bako	b94bcb3b-b832-4a2f-8618-9e85d191c6ee			223 Armoured Battalion	b94bcb3b-b832-4a2f-8618-9e85d191c6ee	Commander	b94bcb3b-b832-4a2f-8618-9e85d191c6ee			Lieutenant Colonel	b94bcb3b-b832-4a2f-8618-9e85d191c6ee
Dahiru Bako	b94bcb3b-b832-4a2f-8618-9e85d191c6ee			223 Armoured Battalion	b94bcb3b-b832-4a2f-8618-9e85d191c6ee	Commander	b94bcb3b-b832-4a2f-8618-9e85d191c6ee			Colonel	b94bcb3b-b832-4a2f-8618-9e85d191c6ee
Dogara	57569906-1c36-402d-993d-9c3d7c12c28f			223 Armoured Battalion	57569906-1c36-402d-993d-9c3d7c12c28f	Commander	57569906-1c36-402d-993d-9c3d7c12c28f			Major	57569906-1c36-402d-993d-9c3d7c12c28f
Joseph Ogonremi	b94bcb3b-b832-4a2f-8618-9e85d191c6ee			223 Armoured Battalion	b94bcb3b-b832-4a2f-8618-9e85d191c6ee					Lieutenant	b94bcb3b-b832-4a2f-8618-9e85d191c6ee
Joseph Ogonremi	b94bcb3b-b832-4a2f-8618-9e85d191c6ee			223 Armoured Battalion	b94bcb3b-b832-4a2f-8618-9e85d191c6ee					Captain	b94bcb3b-b832-4a2f-8618-9e85d191c6ee
