unit:name_and_other_names
177 Guards Battalion
177 Motorised Battalion
17PMF
18 PMF
18 Police Mobile Force (PMF)
19 BN
19 Battalion
19 PMF
19 Police Mobile Force
192 Battalion
192 Motorised Battalion
195 Battalion
19BN
1st Battalion
1st Brigade
1st Division
2 Amphibious Brigade
2 Amphibious Brigade Garrison
2 BN
2 Battalion
2 Brigade
2 Brigade Garrison
2 Brigade Medical Centre
2 Brigade Provost Company
2 Brigade Supply and Transport Company
2 Division
2 Division Garrison
2 Mechanised Division
2 Mechanised Division Garrison
2 NO.BATTALION
20 Battalion
20 Mechanized Battalion
202 Battalion
202 Tank Battalion
20PMF
21 Armored Brigade
21 Armoured Brigade
21 Armoured Brigade Garrison
21 Bde
21 Brigade
21 Special Brigade
21 Special Forces Brigade
21 mobile police squadron
21-Armoured Brigade
211 BN
211 Battalion
211 Demo Battalion
212 BN
212 Battalion
212 Tank Battalion
213 Battalion
213 Brigade
21PMF
22 Armour Brigade
22 Armoured Brigade
22 Armoured Brigade Garrison
22 BN
22 Battalion
22 Brigade
22 Brigade (Rear)
22 Brigade Garrison
22 Task Force Brigade
22 Task Force Brigade Garrison
222 Army
222 Battalion
223 Armour Battalion
223 Armoured Battalion
223 Battalion
223 Light Tank
223 Light Tank Battalion
223 Tank Battalion
223 Tk Bn
22PMF
23 Amoured Brigade
23 Armored Bigade
23 Armoured Brigade
23 Battalion
23 Bde
23 Brigade
231 Battalion
231 Tank Battalion
231 tk Bn
232 Battalion
232 TK BN
232 Tank Battalion
233 Battalion
233 Nigeria Army Battalion
234 Battalion
234 Brigade
234 Special Operations Battalion
23PMF
23rd Amour Brigade
23rd Armored Brigade
23rd Armoured Brigade
23rd Army Brigade
241 Battalion
241 Recce Battalion
241 Reece BN
242 Battalion
242 Recce Battalion
243 Battalion
243 Bn
243 Recce Battalion
244 Recce Battalion
244 Recce Bn
245 Battalion
245 Recce Battalion
245 Recce Bn
25 TF
25 Task Force Brigade
251 Battalion
254 Task Force Battalion
25PMF
26 BN
26 Battalion
26 Brigade
26 TF
26 Task Force Brigade
26 Task Force Brigade Garrison
26-battalion
261 Battalion
26PMF
27 Police Mobile Force
27 Task Force Brigade
27PMF
28 TF
28 Task Force Brigade
28PMF
29 BN
29 Battalion
29 TF
29 Task Force Brigade
29PMF
2nd Division
3 Amphibious Brigade
3 Armoured Division
3 Armoured Division Garrison
3 Battalion
3 Brigade
3 Brigade Garrison
3 Div Garrison
3 Div.
3 Division
3 Division Garrison
3 Mechanised Brigade
3 Mechanised Brigade Garrison
3 Motorised Brigade
3 Motorized Brigade
3 Motorized Brigade Garrison
301 Artillery Regiment
301 Battalion
301 FTS
301 Flying Training School
301 artillery
301 artillery brigade
302 Artillery General Support Regiment
302 Artillery Regiment
302 Field Artillery Regiment
302 Military Regiment
303 Flying Training School
305 FTS
305 Flight Training Squadron
305 Flying Training School
30PMF
31 Artillery
31 Artillery Brigade
31 Brigade
31 Field Artillery Brigade
31 PMF
313 Artillery Brigade
313 Artillery Regiment
313 Artillery Regiment Brigade
313 Medium Artillery Regiment
31PMF
32 Artillery Brigade
32 Artillery Brigade Garrison
32 Artillery Division
32 Brigade
32 Field Artillery Brigade
320 Technical Training Group
322 Artillery Battalion
322 Artillery Brigade
322 Artillery Regiment
322 BN
322 Field Artillery Brigade
322 Regiment
323 Artillery Battalion
323 Artillery Brigade
323 Artillery Regiment
325 Ground Training Group
32PMF
33 Artillery Battalion
33 Artillery Brigade
33 Artillery Regiment
33 Brigade
330 NAF Station
330 Nigerian Air Force Station
331 Artillery Brigade
331 Artillery Regiment
331 Battalion
331 Field Artillery Regiment
333 Air Defence Regiment
333 Artillery Regiment
333 Battalion
333 Logistic Group
333 Logistics Group
333 Regiment
335 BSG
335 Base Services Group
33PMF
34 AB
34 Artillery Brigade
34 Artillery Brigade Garrison
34 Artillery Owerri
34 Brigade
34 Brigade Garrison
34 FAB
34 Field Artillery Brigade
34 Field Artillery Brigade Garrison
342 Artillery Regiment
342 BN
343 Artillery Regiment
343 Regiment
345 Aeoromedical Hospital
34PMF
35 Artillery Brigade
35 Artillery Brigade Garrison
35PMF
36PMF
37 Brigade
37PMF
38PMF
39PMF
3rd Armored Division
3rd Armoured Division
3rd Armoury Division
3rd Army Division
3rd Brigade
3rd Division
3rd Mechanised Brigade
4 Brigade
4 Mechanised Brigade
4 Mechanized Brigade
4 Mechanized Brigade Garrison
40 Nigerian Battalion (UNAMID)
401 ACMD
401 Aircraft Maintenance Depot
403 EMD
403 Electronic Maintenance Depot
405 CAD
405 Central Armament Depot
407 ESD
407 Equipment Supply Depot
40PMF
41 Division
41 Division Engineering
41 Division Engineers
41 Infantry Brigade
41 PMF
419 battalion
41PMF
42 Division Engineers
42 Engineering  Brigade
42PMF
43 Division Engineer
43 Division Engineers
43 Engineers Brigade
435 BSG
435 Base Support Group
43PMF
44 Div. engineers
44 Division Engineer
44 Division Engineers
44 Engineer Brigade
44 Police Mobile Force
445 NAF Hospital
44PMF DPU
45 Division Engineers
45PMF
46PMF
4PMF
4th Brigade
5 Battalion
5 Bde
5 Brigade
52 Division Signals
52 Signal Brigade
52 Squadron Mobile Police Unit
53 Division Signal
53 Division Signals
53 Signal Brigade
54 Div. Signals
54 Division Signals
5PMF
6 Battalion
6 Division
6 Division Garrison
65 BN
65 Battalion
7 Battalion
7 Brigade
7 Brigade Special Task Force
7 Div
7 Division
7 Division Garrison
7 Division Garrison Rapid Deployment Force II
7 Division Military Intelligence Brigade
7 Garrison
7 Guards Battalion
7 Multi-National Joint Task Force Brigade
7 PMF
72 Army Battalion
72 BN
72 Battalion
72 Para Battalion
72 Para Bn
72 Para-Battalion
72 Special Battalion
72 Special Forces Battalion
73 Battalion
75 STG
75 Strategic Tactical Group
75 Strike Force
75 Strike Group
79 CG
79 Composite Group
7PMF
7th Infantry Division
8 Task Force Division
81 BN
81 Battalion
81 Division
81 Division Garrision
81 Task Force Battalion
81st Division
81st Division (Amphibious)
82 BN
82 Battalion
82 Division
82 Division Garrison
82 Division Garrison Anti Kidnapping Unit
82 Mechanised Battalion
82nd Division (Airborne and Amphibious)
8PMF
9 Bde
9 Brigade
93 Army Battalion
93 Battalion
93 Battalion of the Nigerian Army
9PMF
9th Mile Police Division
9th mile Division
A Division
A Division Jos
A Divisional Command Barrack Road Uyo
A division police Station
A" Division
A' Division
A' Police Division (Benue State)
A' Police Division in Plateau State
A' Police Division in Uyo in Akwa Ibom State
A' Police Division in Yobe State
AETSL
AFCS
AFISMA
AFIT
AFSS
AGBOWA DIVISION
AHQ
AKINPELU DIVISION
ALAUSA DIVISION
AMIS
AREA 'A' COMMAND LION BUILDING
AREA 'F' COMMAND
AREA 'N' COMMAND
Aba Area command
Aba Central Police Station
Aba Police Area Command
Abagana
Abagana Division
Abagana Divisional police station
Abagana Police Division
Abak Divisional Command
Abak Divisional Police Station
Abak Police Division
Abak divisional police headquarters
Abakaliki Police Area Command
Abakpa Division
Abakpa Police Division
Abattoir
Abattoir Division
Abattoir Police Division
Abayi Police Division
Abeokuta Police Area Command
Abia State Command (State Security Service)
Abia State Police Command
Abigi
Abigi Police Division
Account & Budget
Achall Division
Achalla Police Division
Adamawa State Command (State Security Service)
Adamawa State Police Command
Adani Police Area Command
Adani Police Division
Adatan
Adatan Police Division
Adeniji Adele Division
Adeniji Adele Police Division
Adeniji-Adele division
Adigbe
Adigbe Police Division
Administration
Administration Staff Branch, Training Command
Ado-Odo
Ado-Odo Police Division
Aeromedical Centre
Aeronautical Engineering & Technical Services Ltd
Afam Police Division
Afikpo Police Area Command
African Union Mission in the Sudan
African Union/UN Hybrid operation in Darfur
African Union/United Nations Hybrid operation in Darfur
African-Led Support Mission in Mali
African-led International Support Mission in Mali
Agbado
Agbado Police Division
Agbara
Agbara Police Division
Agbowa Police Division
Ago-Iwoye
Ago-Iwoye Police Division
Agodi Area Command
Agodi Police Area Command
Aguata Division
Aguata Police Division
Aguata Police Division (Ekwulobia)
Agugu Police Division
Agugu Police Station
Ahoada Area Command
Ahoada Division
Ahoada Police Area Command
Ahoada Police Division
Air Force Comprehensive School Ibadan
Air Force Institute of Technology
Air Force Secondary School Ikeja
Ajah Division
Ajah Police Division
Ajali Police Division
Ajalli Division
Ajalli Police Division
Ajalli, the Divisional Headquarters of the Nigeria Police
Ajegunle Police Division
Ajuwon
Ajuwon Police Division
Akim Area Command
Akim Police Area Command
Akim Police Division
Akinpelu Police Division
Akodo Division
Akodo Police Division
Akpor Police Division
Akukutoru Police Division
Akure Area Command
Akure Police Area Command
Akwa Ibom State Command (State Security Service)
Akwa Ibom State Police Command
Akwa-Ibom State Police Command
Akwanga Area Command
Akwanga Police Area Command
Akwanga Police Division
Akwanga divisional police station
Alade Division
Alade Police Division
Alagbado Division
Alagbado Police Division
Alakara Police Station
Alakuko Division
Alakuko Police Division
Alalpere Police Division
Alapere Division
Alapere Police Division
Alausa Police Division
Aluu Divisional Police Headquarters
Aluu Police Division
Amechi-Uwani Police Division
Amichi Division
Amichi Police Division
Amukoko Police Division
Anaku
Anaku Police Division
Anambra State Command (State Security Service)
Anambra State Police Command
Anaocha
Anaocha Police Division
Angwan-Rogo Police Division
Anthony DIvision
Anthony Police Division
Apapa Police Division
Apata Police Division
Area "G' Command
Area "J" Police Command
Area "L" Police Command
Area 'A' Command
Area 'A' Police Area Command (Lagos State Police Command)
Area 'B' Police Area Command (Lagos State Police Command)
Area 'C'
Area 'C' Police Area Command (Lagos State Police Command)
Area 'D' Police Area Command (Lagos State Police Command)
Area 'E' Command
Area 'E' Police Area Command (Lagos State Police Command)
Area 'F' Police Area Command (Lagos State Police Command)
Area 'G' Police Area Command (Lagos State Police Command)
Area 'H' Police Area Command (Lagos State Police Command)
Area 'H' Police Command
Area 'J' Ajah
Area 'J' Command
Area 'J' Police Area Command (Lagos State Police Command)
Area 'K' Police Area Command (Lagos State Police Command)
Area 'L' Police Area Command (Lagos State Police Command)
Area 'L' Police Command, Area L
Area 'M' Police Area Command (Lagos State Police Command)
Area 'M' Police Command
Area 'N' Police Area Command (Lagos State Police Command)
Area B Police Command
Area Command Abeokuta
Area Command Awka
Area Command H/QTRS in Oturkpo
Area Command Ijebu-Ode
Area Command Police Station in Awka
Area Command Police Station in Yola
Area Command in Oron
Area Command of the Nigeria Police in Afikpo
Area Command, Abakaliki
Area Command, Ikot Ekpene
Area Command, Ilaro
Area Command, Ogudu
Area Command, Otta
Area Command, Sagamu
Area Commander in Charge of Bida area
Area Commander of the Nigerian Police in Bama
Area Commands located in Bauchi, Ningi and Katagun
Area D
Area D Police Command
Area G Police Command
Area H
Area H Command
Area H police command
Area Headquarters in Oron
Area K Police Command
Area M Police Command
Ariaria Division
Ariaria Police Division
Armed Forces
Armed Forces Council
Armed Forces of the Federal Republic of Nigeria
Army Headquarters
Army One Division
Asa Military Base of 14 Brigade
Atakpa Police Division
Atan
Atan Police Division
Awa-Ijebu
Awa-Ijebu Police Division
Awada
Awada Police Division
Awgu Police Division
Awka Area Command
Awka Central Police Station
Awka Police Area Command
Awkunanaw Division
Awkunanaw Police
Awkunanaw Police Division
Ayetoro
Ayetoro Police Division
Ayobo Division
Ayobo Police Division
Azuka Police Division
Azuka Police station
B Division Awka
B Division Bukuru
B Divisional Command Ewet Housing Uyo
B" Division police station
B' Division
B' Division Police Station
B' Division Ughelli
B' Operation Division
B' Police Division (Anambra State)
B' Police Division (Benue State)
B' Police Division (Plateau State)
B' Police Division (Uyo, Akwa Ibom State)
B. Divisional Police Station
Bachirawa Police Division
Badagry Police Division
Bade police divisional headquarters
Bakori Police Division
Bama Area command
Bama Police Area Command
Bara Police Division
Bariga Division
Bariga Police Division
Barkin Ladi Division
Barkin Ladi Divisional Police Station
Barkin Ladi Police Division
Bass Divisional Police Station
Bassa Police Division
Batagarawa Police Division
Batsari Police Division
Battalion 244
Bauchi Police Area Command
Bauchi State Command (State Security Service)
Bauchi State Police Command
Baure Divisional Police Office
Baure Police Division
Bayelsa State Command (State Security Service)
Bayelsa State Police Command
Benue State Command (State Security Service)
Benue State Police Command
Bida Police Area Command
Bindawa Police Division
Bindawa Police Divisional Headquarters
Birnin Kudu Police Division
Birnin kudu Division
Birnin-Kudu Divisional Police Headquarters
Biu Area Command
Biu Police Area Command
Bompai Police Division
Bori Police Division
Borno State Command (State Security Service)
Borno State Government
Borno State Police Command
Borokiri Division
Borokiri Police Division
Borokiri Police Station
Brigade 1
Brigade Police Division
Brigade of Guards
Buni Yadi Division
Buni Yadi Police Division
Bunkure Divisional Police Station
Bunkure Police Division
Bunkure Police Station
Bunu Yadi Division
C Division
C Divisional Command Ikot Akpan Abia, Aka Etinan Road
C division police station
C' Division
C' Division Police Station
C' Police Division in Akwa Ibom State
C' Police Division in Benue State
C' Police Division in Plateau State
C' Police Division in Yobe State
C. Divisional Police Station
C.I.B.
CIB
CID
CJTF
CNC
CPS
CPS Nnwei
CPS Onitsha
Central A Division Police station
Central Naval Command
Central Police Station (Awka, Anambra State)
Central Police Station (Daura)
Central Police Station (Nnewi, Anambra State)
Central Police Station (Onitsha, Anambra State)
Central Police Station (Otukpo, Benue State)
Central Police Station (Umuahia, Abia State)
Central Police Station Awka
Central Police Station in Daura
Central Police Station in Onitsha
Charanchi Police Division
Charanchi Police Divisional Headquarters
Civilian JTF
Civilian JTF in Sector 6
Civilian Joint Task Force
Civilian Joint Task Force Sector 1
Civilian Joint Task Force Sector 2
Civilian Joint Task Force Sector 3
Civilian Joint Task Force Sector 5
Civilian Joint Task Force Sector 6
Civilian-JTF
Command Area Potiskum
Composite Division
Criminal Intelligence Bureau (Abia State Police Command)
Criminal Intelligence Bureau (Adamawa State Police Command)
Criminal Intelligence Bureau (Akwa Ibom State Police Command)
Criminal Intelligence Bureau (Anambra State Police Command)
Criminal Intelligence Bureau (Bauchi State Police Command)
Criminal Intelligence Bureau (Bayelsa State Police Command)
Criminal Intelligence Bureau (Benue State Police Command)
Criminal Intelligence Bureau (Borno State Police Command)
Criminal Intelligence Bureau (Cross River State Police Command)
Criminal Intelligence Bureau (Delta State Police Command)
Criminal Intelligence Bureau (Ebonyi State Police Command)
Criminal Intelligence Bureau (Edo State Police Command)
Criminal Intelligence Bureau (Ekiti State Police Command)
Criminal Intelligence Bureau (Enugu State Police Command)
Criminal Intelligence Bureau (Federal Capital Territory Police Command)
Criminal Intelligence Bureau (Gombe State Police Command)
Criminal Intelligence Bureau (Imo State Police Command)
Criminal Intelligence Bureau (Jigawa State Police Command)
Criminal Intelligence Bureau (Kaduna State Police Command)
Criminal Intelligence Bureau (Kano State Police Command)
Criminal Intelligence Bureau (Katsina State Police Command)
Criminal Intelligence Bureau (Kebbi State Police Command)
Criminal Intelligence Bureau (Kogi State Police Command)
Criminal Intelligence Bureau (Kwara State Police Command)
Criminal Intelligence Bureau (Lagos State Police Command)
Criminal Intelligence Bureau (Nasarawa State Police Command)
Criminal Intelligence Bureau (Niger State Police Command)
Criminal Intelligence Bureau (Ogun State Police Command)
Criminal Intelligence Bureau (Ondo State Police Command)
Criminal Intelligence Bureau (Osun State Police Command)
Criminal Intelligence Bureau (Oyo State Police Command)
Criminal Intelligence Bureau (Plateau State Police Command)
Criminal Intelligence Bureau (Rivers State Police Command)
Criminal Intelligence Bureau (Sokoto State Police Command)
Criminal Intelligence Bureau (Taraba State Police Command)
Criminal Intelligence Bureau (Yobe State Police Command)
Criminal Intelligence Bureau (Zamfara State Police Command)
Criminal Investigation Department
Criminal Investigation Department Abia State
Cross River State Command (State Security Service)
Cross River State Criminal Investigation Department
Cross River State Police Command
D Divisional Command Itam Uyo
D' Division
D' Police Division in Benue State
D' Police Division in Uyo Itam in Akwa Ibom State
DAPP
DAPR
DASE
DATOPS
DOAL
DOPs
DPU
DSS
DSS state command
Dakatsalle Police Division
Dala Division
Dala Divisional Police Office
Dala Police Division
Damagum Division
Damagum Police Division
Dambatta Division
Dambatta Police Division
Dambatta Police Station
Dandume Police Station
Danja Police Division
Danmusa
Danmusa Police Division
Daura Divisional Police
Daura Police Area Command
Daura Police Area Command Office
Daura Police Division
Daura Police Divisional Headquarters
Dawakin Kudu Police Division
Defence Headquarters
Delta Central Area
Delta Central Police Area Command
Delta State Command (State Security Service)
Delta State Police Command
Demsa Divisional Police Office
Demsa Police Division
Department 'D'
Department of Army Logistics
Department of Army Operations
Department of Army Policy and Plans
Department of Army Standards and Evaluation
Department of Army Training and Operations
Department of Military Secretary
Department of Operations
Department of State Security Service SSS in Sokoto State
Diplomatic Protection Unit
Directorate of Army Policy and Plans
Directorate of Army Public Relations
Directorate of Army Training and Operations
Division 7
Divisional Police Headquarters
Divisional Police Headquarters at Ohanze
Divisional Police Headquarters in Bara
Divisional Police Headquarters, Oron
Divisional Police Officer for Akukutoru Local Government Area
Divisional Police Officer of Nsit Ubium
Divisional Police Station
Divisional Police Station at Ikot Edim
Divisional Police Station at Lamisula
Divisional Police Station in Bara
Divisional Police Station in Danja
Divisional Police Station in Kibiya
Divisional Police Station, Fegge
Divisional Police Station, Ikot Nakanda
Divisional Police in Mubi
Divisional Police in Ukanafun
Divisional Police office in Ukwa East:DPO in Ukwa East
Divisional police station
Dobeli Police Station
Doguwa Division
Doguwa Police Division
Dopemu
Dopemu Division
Dopemu Police Division
Doubeli Police Division
Dumne Police Division
Dunukofia Police Division
Dustin-ma Division
Dustin-ma Police Division
Dustinama Police Divisional Headquarters
Dustinma
Dutsi Divisional Police Office
Dutsi Police Division
E' Division
E' Police Division in Benue State
ECOMOG
ENC
Eastern Naval Command
Eastern Ngwa Police Division
Eastern Obolo Divisional Command
Eastern Obolo Divisional Officer
Eastern Obolo Police Division
Ebonyi State Command (State Security Service)
Ebonyi State Police Command
Edo State Command (State Security Service)
Edo State Police Command
Eighty second (Airborne) Division
Eket Division, Eket Divisional Office
Eket Divisional Command
Eket Police Division
Ekiti State Command (State Security Service)
Ekiti State Police Command
Eleme Police Division
Elemoro Police Division
Elemoro Police Station
Elere
Elere Division
Elere Police Command
Elere Police Division
Elimgbu Division
Elimgbu Police Division
Emene Police Division
Enugu Ezike Police Division
Enugu State Command (State Security Service)
Enugu State Police Command
Enugu State Special Anti robbery
Epe Division
Epe Police Division
Etim Ekpo Divisional Command
Etim Ekpo Police Division
Etinan Divisional Command
Etinan Police Division
Ewekoro
Ewekoro Police Division
Ezeagu Police Division
Eziama Police Division
Ezinifite
Ezinifite Police Division
FCID
FCT Police Command
FESTACH DIVISION
FSARS
Fagge Divisional Police Office
Fagge Police Division
Farm Center Police Station
Farm Centre Divisional Police Office
Farm Centre Police Division
Faskari Police Division
Federal Capital Territory Command (State Security Service)
Federal Capital Territory Police Command
Federal Criminal Investigation Department
Federal Housing Police Division
Federal Special Anti-Robbery Squad
Fegge Division
Fegge Police Division
Fegge Police Station
Festac Police Division
Fika Division
Fika Divisional Police Station
Fika Police Division
First Mechanized Infantry Division
Force 29 Mobile Unit
Force Criminal Investigations Department
Force Headquarters
Fourth Brigade Garrison
Funtua Police Area Command
Galadima Police Division
Gamawa Division
Gamawa Police Division
Ganjuwa
Ganjuwa Police Division
Gano Police Division
Ganye Divisional Police Station
Ganye Police Division
Ganye division police station
Garin Alkali Division
Garin Alkali Police Division
Garrison
Garrison Command
Garrison of 26 Task Force Brigade
Gashua Divisional Police Station
Gashua Police Division
Gaya Police Division
Gaya divisional police station
Gboko Area Commad
Gboko Command
Gboko Police Area Commad
Gezawa Police Division
Giade Divisional Police Station
Giade Police Division
Gombe State Command (State Security Service)
Gombe State Police Command
Gombi Area Command
Gombi Police Area Command
Gombi Police Division
Gombi divisional police station
Goron Dutse Division
Goron Dutse Police Division
Goron Dutse Police Outpost
Gowon Estate Division
Gowon Estate Police Division
Guard Squadron
Guards Brigade
Guards Brigade Garrison
Gulak Divisional Police Station
Gulak Police Division
Gwagwarwa Police Division
Gwagwarwa Police Station
Gwale Divisional police station
Gwale Police Division
Gwale station
Gwarzo Police Division
HQ 2 Division Garrison
HQ Guard Brigade Garrison
HQ NAF
Hockey Centre Police Division
Hong Divisional Police Station
Hong Police Division
Hotoro Division
Hotoro Divisional Police Station
Hotoro Police Division
I Brigade
I Division Internal Security Force
IJEDE DIVISION
IKEJA DIVISION
IKORODU DIVISION
ILASHE
ILUPEJU DIVISION
IMOTA DIVISION
IPAKODO DIVISION
Ibafo
Ibafo Police Division
Ibara
Ibara Police Division
Ibeno Divisional Command
Ibeno Police Division
Ibese Division
Ibese Police Division
Ibesikpo Asutan Divisional Command
Ibesikpo Asutan Police Division
Ibesikpo-Asutan Police Division
Ibiono Ibom Divisional Command
Ibiono Ibom Police Division
Ibogun
Ibogun Police Division
Ichi Division
Ichi Police Division
Idi-Ape Police Station
Idimu Area Command
Idimu Division
Idimu Divisional Police station
Idimu Police Command
Idimu Police Division
Idiroko
Idiroko Police Division
Ifako Division
Ifako Police Division
Ifo
Ifo Police Division
Igando Division
Igando Police Division
Igbeba
Igbeba Police Division
Igbo Etiti police division
Igbo-Etiti Division
Igbo-Etiti Police Division
Igbo-Eze North Police Division
Igboeze North Police Division
Igbologun Division
Igbologun Police Division
Ihala Division
Ihala Police Division
Ijaiye Ojokoro
Ijanikin Division
Ijanikin Police Division
Ijebu-Igbo
Ijebu-Igbo Police Division
Ijebu-Ode Police Area Command
Ijede Police Division
Ijora Badia Police Division
Iju
Iju Police Command
Iju Police Division (Area 'G' Police Area Command Lagos State Police Command)
Ika Divisional Command
Ika Police Division
Ikeja Police Division
Ikenne
Ikenne Police Division
Ikom Police Station
Ikorodu Police Division
Ikot Ebo Divisional Command
Ikot Ebo Police Division
Ikot Edim Police Division
Ikot Ekpene Police Area Command
Ikot Ekpene area command
Ikot Nakanda Police Division
Ikotun Division
Ikotun Police Division
Ilaro
Ilaro Police Area Command
Ilaro Police Division
Ilasan Division
Ilasan Police Division
Ilasan station
Ilashe Police Division
Ilemba Hausa Division
Ilemba Hausa Police Division
Ilese
Ilese Police Division
Ilupeju
Ilupeju Police Division (Abeokuta Police Area Command)
Ilupeju Police Division (Lagos State Police Command)
Imala
Imala Police Division
Imeko
Imeko Police Division
Imo State Command (State Security Service)
Imo State Police Command
Imota Police Division
Independence Layout Police Division
Ini Divisional Command
Ini Police Division
Inland Town Police Division
Ipaja Division
Ipaja Police Division
Ipakodo Police Division
Iperu
Iperu Police Division
Ipokia
Ipokia Police Division
Iponri Division
Iponri Police Division
Irede/Ikanre Division
Irede/Ikanre Police Division
Isara
Iseyin Police Station
Ishara Police Division
Ishasi Division
Ishasi Police Division
Isheri Oshun Division
Isheri Oshun Police Division
Isheri Police Command
Isheri Police Division
Isiala Ngwa Police Division
Isikwuato Police Division
Isiokpo Division
Isiokpo Police Division
Isiokpo Police Station
Isokoko
Isokoko Divsion
Isokoko Police Divsion
Isuikwuato Police Division
Itele
Itele Police Division
Itu Divisional Command
Itu Police Division
Iyaganku Area Command
Iyaganku Police Area Command
Iyaganku Police Division
Iyana Ofa Police Station
JTF
JTF ORO
JTF Operation Pulo Shield
JTF Operation Restore Order
JTF Sector 2
JTF in Borno State
JTF in Maiduguri, Borno State 
JTF in Yobe State
JTF's Operation Boyona
JTORO
Jesse
Jesse Divisional Police Headquarters
Jesse Police Division
Jesse Police Station
Jesse town
Jigawa State Command (State Security Service)
Jigawa State Police Command
Jimeta Division
Jimeta Divisional Police Headquarters
Jimeta Divisional Police Station
Jimeta Police Division
Jimeta Police Station
Joint Military Task Force
Joint Military Task Force (JTF)
Joint Military Task Force in the Niger Delta
Joint Military Task Force on the Niger Delta
Joint Military Task Force, Operation Pulo Shield
Joint Military Task known as Operation Restore Hope
Joint Security Task Force
Joint Special Task Force in Maiduguri
Joint TASK Force MAIDUGURI
Joint Tak Force (JTF) Operation Restore Order 3
Joint Task Force
Joint Task Force "Operation Restore Hope
Joint Task Force (JTF) tagged "Operation Restore Peace
Joint Task Force (Operation Zaman Lafiya)
Joint Task Force Kano State
Joint Task Force Operation Pulo Shield
Joint Task Force Operation Pulo Shield Sector 1
Joint Task Force Operation Pulo Shield Sector 2
Joint Task Force Operation Pulo Shield Sector 3
Joint Task Force Operation Pulo Shield Sector 4
Joint Task Force Operation Pulo Shield Sector 5
Joint Task Force Operation Restore Hope
Joint Task Force Operation Restore Hope Sector 1
Joint Task Force Operation Restore Hope Sector 2
Joint Task Force Operation Restore Hope Sector 3
Joint Task Force Operation Restore Order I
Joint Task Force Operation Restore Order I Sub Sector 1
Joint Task Force Operation Restore Order I Sub Sector 10
Joint Task Force Operation Restore Order I Sub Sector 2
Joint Task Force Operation Restore Order I Sub Sector 3
Joint Task Force Operation Restore Order I Sub Sector 4
Joint Task Force Operation Restore Order I Sub Sector 5
Joint Task Force Operation Restore Order I Sub Sector 6
Joint Task Force Operation Restore Order I Sub Sector 7
Joint Task Force Operation Restore Order I Sub Sector 8
Joint Task Force Operation Restore Order I Sub Sector 9
Joint Task Force Operation Restore Order III
Joint Task Force for the Niger Delta
Joint Task Force in Borno
Joint Task Force in Borno State
Joint Task Force in Maiduguri, Borno State
Joint Task Force in Niger Delta code-named Operation Pulo Shield
Joint Task Force in Yobe State
Joint Task Force in the Niger Delta
Joint Task Force in the Niger Delta (Operation Pulo Shield)
Joint Task Force on Niger Delta codenamed Operation Restore Hope
Joint Task Force, Operation Restore Order
K/Fada Division Hadejia
K/Fada Police Division
Kaduna Area Command
Kaduna Police Area Command
Kaduna State Command (State Security Service)
Kaduna State Police Command
Kafanchan Area Command
Kafanchan Police Area Command
Kano JTF
Kano State Command (State Security Service)
Kano State Police Command
Katagum Police Area Command
Katsina State Command (State Security Service)
Katsina State Police Command
Kebbi State Command (State Security Service)
Kebbi State Police Command
Kemta
Kemta Police Division
Ketu Division
Ketu Police Division
Kibiya Police Division
Kibiya Police Station
Kirikiri Police Division
Kiyawa Division
