title,page,published_on,source_url,archive_url,archive_timestamp,country,key,publication_title,new_pub_id
"Army Arrests 37 Boko Haram Suspects in Lagos, Ogun",,2016-11-18,https://www.thisdaylive.com/index.php/2016/11/18/army-arrests-37-boko-haram-suspects-in-lagos-ogun/,https://web.archive.org/web/20161121014209/https://www.thisdaylive.com/index.php/2016/11/18/army-arrests-37-boko-haram-suspects-in-lagos-ogun/,2016-11-21T01:42:09,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
"Army Pays Operational Allowances Upfront, Treats Six War Casualties Abroad'",,2014-07-26,http://allafrica.com/stories/201407281511.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
"Army Reconciles Warring Communities in Cross River, Ebonyi States",,2017-09-11,https://www.thisdaylive.com/index.php/2017/09/11/army-reconciles-warring-communities-in-cross-river-ebonyi-states/,https://web.archive.org/web/20170911033348/https://www.thisdaylive.com/index.php/2017/09/11/army-reconciles-warring-communities-in-cross-river-ebonyi-states/,2017-09-11T03:33:48,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
"Army, Navy Redeploy Senior Officers",,2014-02-13,http://www.thisdaylive.com/articles/army-navy-redeploy-senior-officers/171306/,https://web.archive.org/web/20150207223407/http://www.thisdaylive.com/articles/army-navy-redeploy-senior-officers/171306/,2015-02-07T22:34:07,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
"Bakassi Killings: Nigerian Soldiers Not Involved, Azazi Insists",,2007-11-16,http://www.thisdayonline.com/nview.php?id=95384,https://web.archive.org/web/20071120020138/http://www.thisdayonline.com/nview.php?id=95384,2007-11-20T02:01:38,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
"Boko Haram - 42 Suspects Arrested in Lagos, Ogun",,2013-07-30,http://allafrica.com/stories/201307300083.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
"Gunmen Kill DPO, 3 Policemen",,2012-04-30,http://www.thisdaylive.com/articles/gunmen-kill-dpo-3-policemen/114817/,https://web.archive.org/web/20120503105759/http://www.thisdaylive.com/articles/gunmen-kill-dpo-3-policemen/114817/,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
"Jonathan Names New CDS, Service Chiefs",,2012-10-05,http://allafrica.com/stories/201210050526.html,https://web.archive.org/web/20121009070233/http://allafrica.com/stories/201210050526.html,2012-10-09T07:02:33,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
"Nigeria, UK, U",,2013-10-19,http://allafrica.com/stories/201310210376.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
"Rid our Forests of Criminals, Abubakar Challenges Army",,2017-08-27,https://www.thisdaylive.com/index.php/2017/08/27/rid-our-forests-of-criminals-abubakar-challenges-army/,https://web.archive.org/web/20170827191707/https://www.thisdaylive.com/index.php/2017/08/27/rid-our-forests-of-criminals-abubakar-challenges-army/,2017-08-27T19:17:07,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
"Terrorism... Shopping Malls, Tank Farms Under Surveillance",,2013-09-28,http://www.thisdaylive.com/articles/terrorism-shopping-malls-tank-farms-under-surveillance/160146/,https://web.archive.org/web/20130930215016/http://www.thisdaylive.com/articles/terrorism-shopping-malls-tank-farms-under-surveillance/160146/,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
2015 - Army Prepares Agaist Violence,,2013-11-30,http://allafrica.com/stories/201312020385.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
72 Generals Redeployed in Army Shake-up,,2012-02-16,http://www.thisdaylive.com/articles/72-generals-redeployed-in-army-shake-up/109414/,https://web.archive.org/web/20120428054110/http://www.thisdaylive.com/articles/72-generals-redeployed-in-army-shake-up/109414,2012-04-28T05:41:10,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
