ID,Owner-initial of staff researcher,"Status (0=first commit, 1=fixes needed, 2=fixes made, 3=clean)","Comments-specifics relevant to the review process, such as fixes, refinements, other observations. This is different from ""Notes"", which are intended for publication.",Name,Source: Name,Confidence: Name,Aliases or alternative spellings (semi-colon separated),Source: Aliases or alternative spellings,Confidence: Aliases or alternative spellings,division_id,Organization,Source: Organization,Confidence: Organization,Role,Source: Role,Confidence: Role,Title (official title),Source: Title,Confidence: Title,Rank,Source: Rank,Confidence: Rank,First citation,first_month,first_day,first_year,Source: First citation,Confidence: First citation,Start date? (Y/N),Context for start date,Source: Context for start date,Confidence: Context for start date,Last citation,last_month,last_day,last_year,Source: Last citation,Confidence: Last citation,End date? (Y/N),Context for end date,Source: Context for end date,Confidence: Context for end date,Notes,Column,Column2,Gender,Source: Gender,Confidence: Gender,Date of Birth,Source: Date of Birth,Confidence: Date of Birth,Death Date,Source: Death Date,Confidence: Death Date,Biography,Source: Biography,Confidence: Biography,Facebook Page,Source: Facebook Page,Confidence: Facebook Page,Twitter Account,Source: Twitter Account,Confidence: Twitter Account,Headshot,Source: Headshot,Confidence: Headshot,Wikipedia Page
,TW,3,,Donald Iroham,b630a647-4a9a-426a-add0-39fb59be03a7;eecae4d2-9f6f-4a0d-a8aa-10c96b815aff,Low,,,,ng,Zone 8 Police Command,b630a647-4a9a-426a-add0-39fb59be03a7,Low,Commander,b630a647-4a9a-426a-add0-39fb59be03a7,Low,,,,Assistant Inspector General of Police,b630a647-4a9a-426a-add0-39fb59be03a7,Low,11/16/2010,11,16,2010,b630a647-4a9a-426a-add0-39fb59be03a7,Low,Y,Transferred,b630a647-4a9a-426a-add0-39fb59be03a7,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,Emmanuel Anunlru,740a77b0-4630-42d4-b5ee-4bcfc7572240,Low,,,,ng,Zone 8 Police Command,740a77b0-4630-42d4-b5ee-4bcfc7572240,Low,Commander,740a77b0-4630-42d4-b5ee-4bcfc7572240,Low,,,,Assistant Inspector General of Police,740a77b0-4630-42d4-b5ee-4bcfc7572240,Low,3/21/2010,3,21,2010,740a77b0-4630-42d4-b5ee-4bcfc7572240,Low,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,Tijana Baba,86445d36-47b3-402e-ac84-abbd39a288c8;95373916-7e9f-49e5-bef2-732a676bd592,Low,,,,ng,Zone 8 Police Command,95373916-7e9f-49e5-bef2-732a676bd592,Low,Commander,95373916-7e9f-49e5-bef2-732a676bd592,Low,,,,Assistant Inspector General of Police,95373916-7e9f-49e5-bef2-732a676bd592,Low,7/17/2016,7,17,2016,95373916-7e9f-49e5-bef2-732a676bd592,Low,Y,Promoted,95373916-7e9f-49e5-bef2-732a676bd592,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,Mohammed Abubakar (Zone 12 Police Command),689a045e-0685-4119-aebb-8085e95d0c4f,Low,,,,ng,Zone 12 Police Command,689a045e-0685-4119-aebb-8085e95d0c4f,Low,Commander,689a045e-0685-4119-aebb-8085e95d0c4f,Low,,,,Assistant Inspector General of Police,689a045e-0685-4119-aebb-8085e95d0c4f,Low,12/23/2011,12,23,2011,689a045e-0685-4119-aebb-8085e95d0c4f,Low,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,Aminu Yusuf,6f8582c2-d4da-4f17-8e7b-a08d0c51c8b9,Low,,,,ng,Zamfara State Police Command,6f8582c2-d4da-4f17-8e7b-a08d0c51c8b9,Low,Commander,6f8582c2-d4da-4f17-8e7b-a08d0c51c8b9,Low,,,,Commissioner of Police,6f8582c2-d4da-4f17-8e7b-a08d0c51c8b9,Low,1/10/2003,1,10,2003,6f8582c2-d4da-4f17-8e7b-a08d0c51c8b9,Low,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,Suleimon Lawal,54f2492c-09b5-435e-a70e-87ed4cc47584,Low,,,,ng,Yobe State Police Command,54f2492c-09b5-435e-a70e-87ed4cc47584,Low,Commander,54f2492c-09b5-435e-a70e-87ed4cc47584,Low,,,,Commissioner of Police,54f2492c-09b5-435e-a70e-87ed4cc47584,Low,11/9/2011,11,9,2011,54f2492c-09b5-435e-a70e-87ed4cc47584,Low,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,Alhaji Sanusi Rufai,c9d8200d-9a67-4492-909b-3160756ae468,Low,,,,ng,Yobe State Police Command,c9d8200d-9a67-4492-909b-3160756ae468,Low,Commander,c9d8200d-9a67-4492-909b-3160756ae468,Low,,,,Commissioner of Police,c9d8200d-9a67-4492-909b-3160756ae468,Low,2/10/2013,2,10,2013,c9d8200d-9a67-4492-909b-3160756ae468,Low,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,Jonathan Ango,bf0b4628-a7a4-478b-9604-be6f2f6df284,Low,,,,ng,Western Naval Command,bf0b4628-a7a4-478b-9604-be6f2f6df284,Low,Commander,bf0b4628-a7a4-478b-9604-be6f2f6df284,Low,Flag Officer Commanding,bf0b4628-a7a4-478b-9604-be6f2f6df284,Low,Rear Admiral,bf0b4628-a7a4-478b-9604-be6f2f6df284,Low,4/30/2015,4,30,2015,bf0b4628-a7a4-478b-9604-be6f2f6df284,Low,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,Aworisola Awotunde,814ba219-30ae-408a-b63f-65538a9b97bc,Low,,,,ng,Ughelli Police Area Command,814ba219-30ae-408a-b63f-65538a9b97bc,Low,Commander,814ba219-30ae-408a-b63f-65538a9b97bc,Low,,,,Assistant Commissioner of Police,814ba219-30ae-408a-b63f-65538a9b97bc,Low,1/11/2014,1,11,2014,814ba219-30ae-408a-b63f-65538a9b97bc,Low,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,Bassey Essien,21bbcea9-b260-4190-9f20-2da038fac28a,Low,,,,ng,Ughelli Police Area Command,21bbcea9-b260-4190-9f20-2da038fac28a,Low,Commander,21bbcea9-b260-4190-9f20-2da038fac28a,Low,,,,,,,12/17/2011,12,17,2011,21bbcea9-b260-4190-9f20-2da038fac28a,Low,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,Usman Ndanbabo,7d8467e1-ea00-48d2-857a-356d0b645536;62223080-dd2b-47b7-bb70-f19a95f1da9f,Low,,,,ng,Ughelli Police Area Command,7d8467e1-ea00-48d2-857a-356d0b645536;62223080-dd2b-47b7-bb70-f19a95f1da9f,Low,Commander,7d8467e1-ea00-48d2-857a-356d0b645536;62223080-dd2b-47b7-bb70-f19a95f1da9f,Low,,,,Assistant Commissioner of Police,7d8467e1-ea00-48d2-857a-356d0b645536;62223080-dd2b-47b7-bb70-f19a95f1da9f,Low,9/26/2016,9,26,2016,7d8467e1-ea00-48d2-857a-356d0b645536,Low,N,,,,5/9/2017,5,9,2017,62223080-dd2b-47b7-bb70-f19a95f1da9f,Low,Y,killed,62223080-dd2b-47b7-bb70-f19a95f1da9f,Low,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,Chris Sorgbara,bedcaf24-742f-4e19-b1ee-42b27dc55024,Low,Chris Sogbora,36facafc-a090-4569-933f-4af294a24f69,Low,ng,Ughelli 'A' Police Division,36facafc-a090-4569-933f-4af294a24f69;bedcaf24-742f-4e19-b1ee-42b27dc55024,Low,Commander,36facafc-a090-4569-933f-4af294a24f69;bedcaf24-742f-4e19-b1ee-42b27dc55024,Low,Divisional Police Officer,36facafc-a090-4569-933f-4af294a24f69;bedcaf24-742f-4e19-b1ee-42b27dc55024,Low,,,,4/20/2010,4,20,2010,bedcaf24-742f-4e19-b1ee-42b27dc55024,Low,N,,,,4/18/2011,4,18,2011,36facafc-a090-4569-933f-4af294a24f69,Low,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,Hassan Galadima,f639f317-abcb-4f73-83e3-4a6f4b0c90ea,Low,,,,ng,Ughelli 'A' Police Division,f639f317-abcb-4f73-83e3-4a6f4b0c90ea,Low,Commander,f639f317-abcb-4f73-83e3-4a6f4b0c90ea,Low,Divisional Police Officer,f639f317-abcb-4f73-83e3-4a6f4b0c90ea,Low,,,,3/30/2015,3,30,2015,f639f317-abcb-4f73-83e3-4a6f4b0c90ea,Low,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,Nnamdi Ngwokor,54f71a7b-894d-45ff-ba88-275b4e342d30,Low,,,,ng,Ughelli 'A' Police Division,54f71a7b-894d-45ff-ba88-275b4e342d30,Low,Commander,54f71a7b-894d-45ff-ba88-275b4e342d30,Low,Divisional Police Officer,54f71a7b-894d-45ff-ba88-275b4e342d30,Low,,,,,,,,,,,,,,,,,,,,,killed,54f71a7b-894d-45ff-ba88-275b4e342d30,Low,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,Edith Ozobia,1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb,Low,,,,ng,Tarkwa Bay Police Division,1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb,Low,Commander,1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb,Low,Divisional Police Officer,1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb,Low,Superintendent of Police,1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb,Low,2014,,,2014,1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb,Low,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,Aliyu Musa (Taraba State Police Command),9db7365a-d90c-4356-922e-cd292d77af47,Low,,,,ng,Taraba State Police Command,9db7365a-d90c-4356-922e-cd292d77af47,Low,Commander,9db7365a-d90c-4356-922e-cd292d77af47,Low,,,,Commissioner of Police,9db7365a-d90c-4356-922e-cd292d77af47,Low,7/14/2010,7,14,2010,9db7365a-d90c-4356-922e-cd292d77af47,Low,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,David Akinremi,42787f7c-4e2d-44c8-91a1-846be63daade,Low,,,,ng,Taraba State Police Command,42787f7c-4e2d-44c8-91a1-846be63daade,Low,Commander,42787f7c-4e2d-44c8-91a1-846be63daade,Low,,,,Commissioner of Police,42787f7c-4e2d-44c8-91a1-846be63daade,Low,1/9/2018,1,9,2018,42787f7c-4e2d-44c8-91a1-846be63daade,Low,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,AE Okpere,747ea676-8906-4d75-b0ae-740939e7c61d,Low,,,,ng,Tactical Air Command,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Commander,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Air Officer Commanding,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Air Vice Marshal,747ea676-8906-4d75-b0ae-740939e7c61d,Low,12/29/1989,12,29,1989,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Y,,,,9/7/1990,9,7,1990,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,AH Lawal,747ea676-8906-4d75-b0ae-740939e7c61d,Low,,,,ng,Tactical Air Command,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Commander,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Air Officer Commanding,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Group Captain,747ea676-8906-4d75-b0ae-740939e7c61d,Low,6/16/1980,6,16,1980,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Y,,,,12/2/1981,12,2,1981,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,AH Lawal,747ea676-8906-4d75-b0ae-740939e7c61d,Low,,,,ng,Tactical Air Command,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Commander,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Air Officer Commanding,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Air Commodore,747ea676-8906-4d75-b0ae-740939e7c61d,Low,1/20/1984,1,20,1984,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Y,,,,3/1/1986,3,1,1986,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,C Onyemaobi,747ea676-8906-4d75-b0ae-740939e7c61d,Low,,,,ng,Tactical Air Command,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Commander,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Air Officer Commanding,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Air Vice Marshal,747ea676-8906-4d75-b0ae-740939e7c61d,Low,November 2012,11,,2012,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Y,,,,10/29/2013,10,29,2013,747ea676-8906-4d75-b0ae-740939e7c61d,Low,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,CAE Dada,747ea676-8906-4d75-b0ae-740939e7c61d,Low,,,,ng,Tactical Air Command,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Commander,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Air Officer Commanding,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Air Commodore,747ea676-8906-4d75-b0ae-740939e7c61d,Low,9/7/1990,9,7,1990,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Y,,,,12/24/1991,12,24,1991,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TW,3,,CO Onugha,747ea676-8906-4d75-b0ae-740939e7c61d,Low,,,,ng,Tactical Air Command,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Commander,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Air Officer Commanding,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Air Vice Marshal,747ea676-8906-4d75-b0ae-740939e7c61d,Low,7/9/2008,7,9,2008,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Y,,,,10/31/2008,10,31,2008,747ea676-8906-4d75-b0ae-740939e7c61d,Low,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
